Timestamp,Direction,Type,Hash,From,To,Amount,Fee,Block
2024-04-13 08:26:10,IN,transfer,d948ef26eec6eda532d795cc67e080c6ca2789ef9ef59497661e1a06b46e1e69,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,8.643700000,0.000500000,3062101
2024-04-08 00:24:30,IN,transfer,a60c8cd62533374ca2fd2d8e943f765fc24c6fb84abe6f30e515cb5f5b74f437,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,30.033100000,0.001000000,3054405
2022-04-24 18:18:32,MISC,transfer,79591ef328c8e7a1d5e4152e9fcb8a25bd31061376bd307de4e097c9b535abc6,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q010500cae100e4791174571c3f76cd8e9f9a5a18a9ef4a396069987359fcf7c330e014cd60c84e,1.150000000,0.000500000,2022238
2022-04-16 21:40:33,IN,transfer,0cd0688101168c4c1b49ec6a9c17f94efa1bdf1722e70874f9f25d5e5c32f30f,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,91.210000000,0.000500000,2010963
2022-03-18 21:38:45,IN,transfer,7e966970a5b9b9dd1d6eca712055d54b4471c32463eb98405900d6a43c518337,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,90.820000000,0.000500000,1969140
2022-02-21 08:28:04,IN,transfer,81410f9c696885637c0908deb754ef54984508d731d6ed714592e96ec94a9cec,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,91.480000000,0.000500000,1932485
2022-02-07 17:46:57,IN,transfer,ae5a52263c20298065e6b840fee2cb25d4b6cbb7e099bc2605613221da8a25a9,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,91.610000000,0.000500000,1912745
2022-01-23 14:40:32,IN,transfer,f4fff79faa269c36c3dd91559e2a7a797930c66f9c7c57f12462fcb255e76319,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,91.980000000,0.000500000,1890641
2022-01-04 09:02:40,IN,transfer,3612e0fea57028b2565114f7723f5baa67c5f3abb74321b3fe895f8c9c833f4b,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,92.290000000,0.000500000,1862551
2021-12-25 20:31:28,IN,transfer,6f9bcaa2c43b5110331cc2d2d837fdfa6aa9c257f7edeca415b93b27d02609d8,Q010800d1f8900a72abeb583737b8bcd1185e07a54760551173cd15ffe2408048a2df150556cad9,Q0105002eae4b2a8d95a8dfdabe62c2a27e0e37daa9ce4b424049cd7b8f64074962625000595023,92.550000000,0.000500000,1848692
